State,District,Assessment Unit  Name,Assessment Unit Type,Recharge Worthy Area(Ha),Total Annual  Ground Water (Ham) Recharge,Annual Extractable Ground Water Resource  (Ham),Total   Ground Water Extraction  (Ham),Stage of Ground Water  Extraction (%),Categorization
ANDHRA PRADESH,KURNOOL,TUGGALI,MANDAL,36301,2166.33,2057.99,441.2,21.43839377,safe
ANDHRA PRADESH,KURNOOL,VELDURTHI (KURNOOL),MANDAL,31605,2144.09,2036.89,519.72,25.51536902,safe
ANDHRA PRADESH,KURNOOL,YEMMIGANUR,MANDAL,29504,3928.83,3732.38,1094.02,29.31159207,safe
ANDHRA PRADESH,NANDYAL,ALLAGADDA,MANDAL,27613,4630.34,4398.83,990.38,22.51462321,safe
ANDHRA PRADESH,NANDYAL,ATMAKUR (KURNOOL),MANDAL,18099,1199.31,1139.35,14.42,1.265633914,safe
ANDHRA PRADESH,NANDYAL,BANAGANAPALLE,MANDAL,44028,5556.13,5278.3,358.08,6.784002425,safe
ANDHRA PRADESH,NANDYAL,BANDI ATMAKUR,MANDAL,41208,12073.51,11469.85,341.08,2.973709334,safe
ANDHRA PRADESH,NANDYAL,BETHAMCHERLA,MANDAL,22172,1597.83,1517.91,509.43,33.56127834,safe
ANDHRA PRADESH,NANDYAL,CHAGALAMARRI,MANDAL,20623,4446.55,4224.2,819.47,19.39941291,safe
ANDHRA PRADESH,NANDYAL,DHONE,MANDAL,40462,2770.54,2632.02,440.38,16.73163578,safe
ANDHRA PRADESH,NANDYAL,DORNIPADU,MANDAL,11743,1923.89,1827.69,84.32,4.613473839,safe
ANDHRA PRADESH,NANDYAL,GADIVEMULA,MANDAL,21814,2610.15,2479.64,615.69,24.82981401,safe
ANDHRA PRADESH,NANDYAL,GOSPADU,MANDAL,13405,4782.12,4542.99,254.02,5.591471696,safe
ANDHRA PRADESH,NANDYAL,JUPADU BUNGALOW,MANDAL,22575,2149.07,2041.62,437.47,21.42759181,safe
ANDHRA PRADESH,NANDYAL,KOILKUNTLA,MANDAL,20468,2623.4,2492.22,464.52,18.63880396,safe
ANDHRA PRADESH,NANDYAL,KOLIMIGUNDLA,MANDAL,29491,1551.25,1473.72,374.89,25.4383465,safe
ANDHRA PRADESH,NANDYAL,KOTHAPALLE,MANDAL,26498,1707.52,1622.09,442.95,27.30736272,safe
ANDHRA PRADESH,NANDYAL,MAHANANDI,MANDAL,9672,2107.33,2001.95,1034.37,51.66812358,safe
ANDHRA PRADESH,NANDYAL,MIDTHUR,MANDAL,29364,1194.78,1135.02,533.63,47.01503057,safe
ANDHRA PRADESH,NANDYAL,NANDI KOTKUR,MANDAL,15864,939.59,892.61,411.41,46.0906779,safe
ANDHRA PRADESH,NANDYAL,NANDYAL,MANDAL,22098,5329.59,5063.13,445.58,8.800485075,safe
ANDHRA PRADESH,NANDYAL,OWK,MANDAL,38857,4069.11,3865.62,544.92,14.09657442,safe
ANDHRA PRADESH,NANDYAL,PAGIDYALA,MANDAL,15027,1092.2,1037.59,150.14,14.47007007,safe
ANDHRA PRADESH,NANDYAL,PAMULAPADU,MANDAL,19274,1350.29,1282.77,396.9,30.94085456,safe
ANDHRA PRADESH,NANDYAL,PANYAM,MANDAL,21572,5586.42,5307.06,666.63,12.56119207,safe
ANDHRA PRADESH,NANDYAL,PEAPALLY,MANDAL,29577,2825.28,2683.99,744.03,27.72104218,safe
ANDHRA PRADESH,NANDYAL,RUDRAVARAM,MANDAL,44030,12137.58,11530.67,1092.95,9.478633939,safe
ANDHRA PRADESH,NANDYAL,SANJAMALA,MANDAL,28150,2710.53,2574.99,482.9,18.75347089,safe
ANDHRA PRADESH,NANDYAL,SIRVEL,MANDAL,17523,6068.48,5765.06,612.88,10.63093879,safe
ANDHRA PRADESH,NANDYAL,SRISAILAM,MANDAL,14727,111.49,105.92,0,0,safe
ANDHRA PRADESH,NANDYAL,UYYALAWADA,MANDAL,20247,7065.04,6711.75,449.73,6.700636943,safe
ANDHRA PRADESH,NANDYAL,VELGODE,MANDAL,20001,4236.22,4024.4,239.92,5.961634032,safe
ANDHRA PRADESH,NTR,A KONDURU,MANDAL,18937,3614.75,3434,1967.01,57.28043098,safe
ANDHRA PRADESH,NTR,CHANDARLAPADU,MANDAL,22129,2963.98,2815.82,1166.6,41.43020506,safe
ANDHRA PRADESH,NTR,G KONDURU,MANDAL,20252,3635.44,3453.64,1152.08,33.35842763,safe
ANDHRA PRADESH,NTR,GAMPALAGUDEM,MANDAL,20988,5517.28,5241.4,2120.43,40.45541268,safe
