State,District,Assessment Unit  Name,Assessment Unit Type,Recharge Worthy Area(Ha),Total Annual  Ground Water (Ham) Recharge,Annual Extractable Ground Water Resource  (Ham),Total   Ground Water Extraction  (Ham),Stage of Ground Water  Extraction (%),Categorization
ANDHRA PRADESH,NTR,IBRAHIMPATNAM,MANDAL,10404,3461.7,3288.6,721.9,21.95159034,safe
ANDHRA PRADESH,NTR,JAGGAYYAPETA,MANDAL,25781,4797.3,4557.41,1195.57,26.23354054,safe
ANDHRA PRADESH,NTR,KANCHIKA CHERLA,MANDAL,15976,1689.51,1605.04,415.94,25.91461895,safe
ANDHRA PRADESH,NTR,MYLAVARAM (KRISHNA),MANDAL,21111,3886.98,3692.61,2553.78,69.15921259,safe
ANDHRA PRADESH,NTR,NANDIGAMA,MANDAL,18832,3125.32,2969.04,866.02,29.16835071,safe
ANDHRA PRADESH,NTR,PENUGANCHIPROLU,MANDAL,16325,3658.56,3475.64,1336.95,38.46629685,safe
ANDHRA PRADESH,NTR,REDDIGUDEM,MANDAL,18582,4266.25,4052.95,1946.13,48.0176168,safe
ANDHRA PRADESH,NTR,TIRUVURU,MANDAL,18432,8945.32,8498.04,2521.61,29.67284221,safe
ANDHRA PRADESH,NTR,VATSAVAI,MANDAL,18800,3230.69,3069.14,1289.9,42.02805998,safe
ANDHRA PRADESH,NTR,VEERULLAPADU,MANDAL,18715,2621.46,2490.39,940.65,37.77119246,safe
ANDHRA PRADESH,NTR,VIJAYAWADA RURAL,MANDAL,14413,7635,7253.24,782.59,10.78952303,safe
ANDHRA PRADESH,NTR,VIJAYAWADA URBAN,MANDAL,6869,5210.51,4949.98,513.01,10.36388026,safe
ANDHRA PRADESH,NTR,VISSANNAPET,MANDAL,19778,4543.36,4316.19,1778.14,41.1969816,safe
ANDHRA PRADESH,PALNADU,ACHAMPETA,MANDAL,20395,2387.52,2268.12,1026.74,45.26832795,safe
ANDHRA PRADESH,PALNADU,AMARAVATHI,MANDAL,20573.4804,1898.8,1803.85,415.74,23.0473709,safe
ANDHRA PRADESH,PALNADU,BELLAMKONDA,MANDAL,23411,2578.86,2449.93,747.69,30.51883115,safe
ANDHRA PRADESH,PALNADU,BOLLAPALLE,MANDAL,53910.4461,3230.02,3068.51,2816.01,91.77125054,Critical
ANDHRA PRADESH,PALNADU,CHILAKALURIPET,MANDAL,21122.8178,413.1,392.44,165.07,42.06248089,safe
ANDHRA PRADESH,PALNADU,DACHEPALLE,MANDAL,22035.5859,5129.66,4873.18,1215.07,24.93382145,safe
ANDHRA PRADESH,PALNADU,DURGI,MANDAL,35024.0072,2220.42,2109.4,1356.98,64.33014127,safe
ANDHRA PRADESH,PALNADU,EDLAPADU,MANDAL,13963.6887,979.31,930.35,273.95,29.44590745,safe
ANDHRA PRADESH,PALNADU,GURAZALA,MANDAL,24650.8999,4277.48,4063.57,1558.73,38.35863539,safe
ANDHRA PRADESH,PALNADU,IPURU,MANDAL,25066.4086,5530.17,5253.66,1384.03,26.34411058,safe
ANDHRA PRADESH,PALNADU,KAREMPUDI,MANDAL,20274.8034,5752.84,5465.19,1880.84,34.41490598,safe
ANDHRA PRADESH,PALNADU,KROSURU,MANDAL,16071.3891,1967.71,1869.33,922.78,49.36421071,safe
ANDHRA PRADESH,PALNADU,MACHAVARAM,MANDAL,19523.5858,3680.63,3496.61,1265.44,36.19048164,safe
ANDHRA PRADESH,PALNADU,MACHERLA,MANDAL,28665.0216,8214.2,7803.52,1777.09,22.77292811,safe
ANDHRA PRADESH,PALNADU,MUPPALLA,MANDAL,13050.5338,1317.94,1252.04,281.67,22.49688508,safe
ANDHRA PRADESH,PALNADU,NADENDLA,MANDAL,16701.2632,1048.93,996.5,285.9,28.69041646,safe
ANDHRA PRADESH,PALNADU,NAKARIKALLU,MANDAL,20423.8684,3010.4,2859.88,761,26.60950809,safe
ANDHRA PRADESH,PALNADU,NARASARAOPETA,MANDAL,22909.6851,4363.45,4145.29,403.03,9.722600831,safe
ANDHRA PRADESH,PALNADU,NUZENDLA,MANDAL,39060.0404,6935.94,6589.16,914.79,13.88325674,safe
ANDHRA PRADESH,PALNADU,PEDAKURAPADU,MANDAL,14075.0613,4746.38,4509.05,404.29,8.966190217,safe
ANDHRA PRADESH,PALNADU,PIDUGURALLA,MANDAL,29279.9032,2286.28,2171.97,1332.27,61.33924502,safe
ANDHRA PRADESH,PALNADU,RAJUPALEM,MANDAL,10946.5088,3621.75,3440.65,1101.19,32.0052897,safe
ANDHRA PRADESH,PALNADU,RENTACHINTALA,MANDAL,16944.1574,6668.55,6335.11,1583.9,25.00193367,safe
ANDHRA PRADESH,PALNADU,ROMPICHERLA (GUNTUR),MANDAL,23323.2657,1537.75,1460.88,336.95,23.06486501,safe
ANDHRA PRADESH,PALNADU,SATTENAPALLE,MANDAL,23945.1269,2984.16,2834.94,570.09,20.10942031,safe
ANDHRA PRADESH,PALNADU,SAVALYAPURAM,MANDAL,14929.2114,1102.96,1047.82,383.07,36.55876009,safe
ANDHRA PRADESH,PALNADU,VELDURTHI,MANDAL,33591.8989,1834.69,1742.99,2403.34,137.8860464,Over-Exploited
ANDHRA PRADESH,PALNADU,VINUKONDA,MANDAL,27787.7659,10581.58,10052.5,1001.91,9.966774434,safe
ANDHRA PRADESH,PARVATHIPURAM MANYAM,BALAJIPETA,MANDAL,15876.29,13448.85,12776.41,1794.32,14.04400767,safe
ANDHRA PRADESH,PARVATHIPURAM MANYAM,BHAMINI,MANDAL,12032,3640.84,3458.81,637.45,18.42974896,safe
ANDHRA PRADESH,PARVATHIPURAM MANYAM,GARUGUBILLI,MANDAL,14070.29,4376.73,4157.91,1376.86,33.11423287,safe
ANDHRA PRADESH,PARVATHIPURAM MANYAM,GUMMALAKSHMIPURAM,MANDAL,34851.83838,4552.36,4324.63,169.75,3.925191288,safe
ANDHRA PRADESH,PARVATHIPURAM MANYAM,JIYYAMMA VALASA,MANDAL,15779.03,4308.06,4092.63,1265.33,30.91728302,safe
ANDHRA PRADESH,PARVATHIPURAM MANYAM,KOMARADA,MANDAL,26915.7844,6793.63,6453.95,2897.34,44.89250769,safe
ANDHRA PRADESH,PARVATHIPURAM MANYAM,KURUPAM,MANDAL,37682.81,6307.99,5992.55,620.79,10.35936288,safe
ANDHRA PRADESH,PARVATHIPURAM MANYAM,MAKKUVA,MANDAL,17344.96,7282.77,6918.58,1679.22,24.27116547,safe
ANDHRA PRADESH,PARVATHIPURAM MANYAM,PACHIPENTA,MANDAL,36273.87,4722.03,4485.87,1508.41,33.62580726,safe
ANDHRA PRADESH,PARVATHIPURAM MANYAM,PALAKONDA,MANDAL,11467,4126.21,3919.89,652.29,16.64051797,safe
ANDHRA PRADESH,PARVATHIPURAM MANYAM,PARVATHIPURAM,MANDAL,27530.12,6747.79,6410.35,1496.05,23.33803926,safe
ANDHRA PRADESH,PARVATHIPURAM MANYAM,SALUR,MANDAL,27208.09,5767.56,5479.11,2689.09,49.07895625,safe
ANDHRA PRADESH,PARVATHIPURAM MANYAM,SEETHAMPETA,MANDAL,26730,4128.55,3922.07,486.36,12.40059458,safe
ANDHRA PRADESH,PARVATHIPURAM MANYAM,SEETHANAGARAM (VIZIANAGARAM),MANDAL,14766.7298,14277.16,13563.27,1538.67,11.34438819,safe
ANDHRA PRADESH,PARVATHIPURAM MANYAM,VEERAGHATTAM,MANDAL,13282,4000.1,3800.1,793.94,20.89260809,safe
ANDHRA PRADESH,PRAKASAM,ARDHAVEEDU,MANDAL,27583,2357.1,2079.48,1263.45,60.75797796,safe
ANDHRA PRADESH,PRAKASAM,BESTAVARIPETA,MANDAL,27833,2723.51,2587.37,786.65,30.40345988,safe
ANDHRA PRADESH,PRAKASAM,CHADRASEKARAPURAM,MANDAL,32918,3317.94,3152.01,784.33,24.88348704,safe
ANDHRA PRADESH,PRAKASAM,CHIMAKURTHI,MANDAL,24863,2736.37,2599.54,899.46,34.60073705,safe
ANDHRA PRADESH,PRAKASAM,CUMBUM,MANDAL,7764,550.84,523.29,556.63,106.3712282,Over-Exploited
ANDHRA PRADESH,PRAKASAM,DARSI,MANDAL,36230,3347.86,3180.46,794.28,24.97374594,safe
ANDHRA PRADESH,PRAKASAM,DONAKONDA,MANDAL,19740,1349.98,1282.48,274.68,21.41787786,safe
ANDHRA PRADESH,PRAKASAM,DORNALA,MANDAL,41258,2580.9,2451.85,1316.9,53.71046353,safe
ANDHRA PRADESH,PRAKASAM,GIDDALURU,MANDAL,48682,2554.12,2426.39,2153.94,88.77138465,Semi-Critical
ANDHRA PRADESH,PRAKASAM,HANUMANTHUNIPADU,MANDAL,32472,2658.16,2525.2,501.27,19.85070489,safe
ANDHRA PRADESH,PRAKASAM,KANIGIRI,MANDAL,49205,4988.88,4739.44,1259.82,26.58162146,safe
ANDHRA PRADESH,PRAKASAM,KOMAROLU,MANDAL,22926,1632.97,1551.33,799.51,51.53706819,safe
ANDHRA PRADESH,PRAKASAM,KONAKANAMITLA,MANDAL,45715,3617.69,3436.82,691.69,20.12587217,safe
ANDHRA PRADESH,PRAKASAM,KONDAPI,MANDAL,21230,1990.03,1890.52,352.67,18.65465586,safe
ANDHRA PRADESH,PRAKASAM,KOTHAPATNAM,MANDAL,12377,2108.36,2002.95,173.38,8.656232058,safe
ANDHRA PRADESH,PRAKASAM,KURICHEDU,MANDAL,14993,1108.43,1053.01,118.76,11.27814551,safe
ANDHRA PRADESH,PRAKASAM,MADDIPADU,MANDAL,12063,1979.9,1909.75,331.75,17.37138,safe
ANDHRA PRADESH,PRAKASAM,MARKAPUR,MANDAL,17728,1600.73,1520.69,1004.89,66.08118683,safe
ANDHRA PRADESH,PRAKASAM,MARRIPUDI,MANDAL,24000,4346.4,4212.76,612.12,14.5301418,safe
ANDHRA PRADESH,PRAKASAM,MUNDLAMURU,MANDAL,33292,2712.16,2576.57,358.96,13.9316999,safe
ANDHRA PRADESH,PRAKASAM,NAGULUPPALAPADU,MANDAL,16098,2262.14,2149.01,129,6.002764063,safe
ANDHRA PRADESH,PRAKASAM,ONGOLE,MANDAL,19314,1357.24,1289.37,58.87,4.565795699,safe
ANDHRA PRADESH,PRAKASAM,PAMUR,MANDAL,40201,3496.98,3322.14,1111.81,33.46668112,safe
ANDHRA PRADESH,PRAKASAM,PEDAARAVEEDU,MANDAL,13800,805.99,765.68,1048.67,136.9593041,Over-Exploited
ANDHRA PRADESH,PRAKASAM,PEDACHERLOPALLE,MANDAL,32183,2545.09,2417.85,817.65,33.81723432,safe
ANDHRA PRADESH,PRAKASAM,PODILI,MANDAL,29315,3347.16,3179.79,975.38,30.67435271,safe
ANDHRA PRADESH,PRAKASAM,PONNALURU,MANDAL,29023,2945.96,2798.66,400.56,14.31256387,safe
ANDHRA PRADESH,PRAKASAM,PULLALACHERUVU,MANDAL,45103,2457.76,2334.86,2086.34,89.356107,Semi-Critical
ANDHRA PRADESH,PRAKASAM,RACHERLA,MANDAL,16694,1125.63,1069.34,1153.23,107.8450259,Over-Exploited
ANDHRA PRADESH,PRAKASAM,SANTHANUTHLAPADU,MANDAL,21211,2123.08,2016.92,877.6,43.51188942,safe
ANDHRA PRADESH,PRAKASAM,SINGARAYAKONDA,MANDAL,11091,2063.51,1960.33,261.96,13.36305622,safe
ANDHRA PRADESH,PRAKASAM,TANGUTUR,MANDAL,10786,805.55,765.27,36.2,4.730356606,safe
ANDHRA PRADESH,PRAKASAM,TARLAPADU,MANDAL,24739,1652.38,1569.76,752.72,47.95127918,safe
ANDHRA PRADESH,PRAKASAM,THALLUR,MANDAL,20697,2578.22,2449.26,1048.77,42.81987212,safe
ANDHRA PRADESH,PRAKASAM,TRIPURANTHAKAM,MANDAL,25389,1798.69,1708.73,485.91,28.43690928,safe
ANDHRA PRADESH,PRAKASAM,VELIGANDLA,MANDAL,31182,3872.09,3678.47,425.12,11.55697885,safe
ANDHRA PRADESH,PRAKASAM,YERRAGONDAPALEM,MANDAL,65046,3191.56,3031.99,899.06,29.65247247,safe
ANDHRA PRADESH,PRAKASAM,ZARUGUMILLI,MANDAL,18447,2036.21,1934.37,351.74,18.18369805,safe
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,ALLUR,MANDAL,19114,13299.53,12634.56,609.62,4.825019629,safe
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,ANANTHASAGARAM,MANDAL,25820,7526.79,7150.46,2131.18,29.80479578,safe
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,ANUMASAMUDRAMPETA,MANDAL,28466.25391,5089.84,4835.39,1826.35,37.77047973,safe
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,ATMAKUR (NELLORE),MANDAL,28940.80952,6204.05,5893.85,1553.5,26.35798332,safe
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,BOGOLE,MANDAL,17749,6969.82,6621.3,906.32,13.68794648,safe
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,BUCCHIREDDIPALEM,MANDAL,11738,8393.38,7973.69,3056.27,38.32943092,safe
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,CHEJERLA,MANDAL,30950,5953.39,5655.72,1063.67,18.80697771,safe
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,DAGADARTHI,MANDAL,25134,10727.92,10191.53,1412.26,13.85719318,safe
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,DUTTALUR,MANDAL,28055,3302.76,3137.61,1318.91,42.03549836,safe
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,GUDLURU,MANDAL,26172,4960.76,4712.74,1181.97,25.08031421,safe
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,INDUKURPET,MANDAL,14420,8636.3,8204.51,4447.53,54.20835614,safe
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,JALADANKI,MANDAL,30779,8065.34,7662.06,1202.83,15.69851972,safe
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,KALIGIRI,MANDAL,39190.397,5697.32,5412.42,2275.53,42.04274613,safe
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,KALUVOYA,MANDAL,41858,5778.73,5489.78,1309.7,23.85705802,safe
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,KANDUKUR,MANDAL,23066,5207.76,4947.36,934.86,18.89613855,safe
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,KAVALI,MANDAL,32066,7312.92,6947.27,1720.28,24.76195685,safe
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,KODAVALUR,MANDAL,11100,9416.58,8945.76,2048.87,22.90325249,safe
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,KONDAPURAM (NELLORE),MANDAL,35339,5836.91,5545.07,1508.5,27.20434548,safe
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,KOVUR,MANDAL,8822,7953.18,7555.52,3091.83,40.92147198,safe
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,LINGASAMUDRAM,MANDAL,19843,4185.56,3976.28,474.83,11.94156347,safe
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,MANUBOLU,MANDAL,22580,15419.32,14648.35,719.11,4.909153591,safe
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,MARRIPADU,MANDAL,46627,5948.05,5650.69,2049.84,36.27592383,safe
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,MUTHUKUR,MANDAL,17834.53333,5509.23,5233.74,2672.94,51.07131802,safe
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,NELLORE MANDAL,MANDAL,34611.16686,9573.86,9095.19,2630.71,28.9241896,safe
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,PODLAKUR,MANDAL,43386.76889,9681.48,9197.42,2452.92,26.66965301,safe
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,RAPUR,MANDAL,47491.11508,5615.84,5335.03,1157.84,21.70259586,safe
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,SANGAM,MANDAL,20793.47063,10187.69,9678.31,1497.86,15.47646232,safe
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,SEETHARAMAPURAM,MANDAL,16414.16736,1693.07,1608.4,690.26,42.91594131,safe
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,SYDAPURAM,MANDAL,34102.48413,4587.83,4358.43,1790.92,41.0909433,safe
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,THOTAPALLIGUDUR,MANDAL,15680.45,8315.21,7899.42,2769.11,35.05459895,safe
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,UDAYAGIRI,MANDAL,47934,5080.2,4826.18,1682.91,34.87043583,safe
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,ULAVAPADU,MANDAL,18774,4341.39,4124.31,1641.56,39.80205174,safe
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,VARIKUNTAPADU,MANDAL,33148.99,4016.54,3815.73,1831.1,47.98819623,safe
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,VENKATACHALAM,MANDAL,30026,10042.61,9540.45,998.26,10.46344774,safe
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,VIDAVALUR,MANDAL,15771,12130.69,11524.15,2662.51,23.10374301,safe
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,VINJAMUR,MANDAL,27985,3436.8,3264.95,1966.49,60.23032512,safe
